Date Added,Frequency,Word/Expression,Definition,Source,Context,Notes
2024/06/25 20:32:12,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/teem"", ""teem"")","be teeming, be abuzz",One Piece,"one brimming with mystery and teeming with danger,",
2024/06/25 20:33:30,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/miscreant"", ""miscreant"")",a person without moral scruples,One Piece,"For too long, villains and miscreants have sown havoc across our seas.",
2024/06/25 20:34:52,3,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/footstep"", ""footstep"")",the sound of a step of someone walking,One Piece,to follow in his footsteps.,
2024/06/25 20:36:25,2,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/clamor"", ""clamor"")",a loud harsh or strident noise,One Piece,-[man 3] Tell us where you hid it! -[crowd clamoring],
2024/06/25 20:42:58,13,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/suspenseful"", ""suspenseful"")",(of a situation) characterized by or causing suspense,One Piece,[suspenseful music plays],
2024/06/25 20:47:06,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/toenail"", ""toenail"")",the nail at the end of a toe,One Piece,I even have to paint her toenails.,
2024/06/25 20:48:48,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/lifeboats"", ""lifeboats"")",a strong sea boat designed to rescue people from a sinking ship,One Piece,Lifeboats are tied at the stern of the ship.,
2024/06/25 20:50:15,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/scrawny"", ""scrawny"")",being very thin,One Piece,"And you, you're too scrawny to be Roronoa Zoro.",
2024/06/25 20:51:32,2,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/snivel"", ""snivel"")",whining in a tearful manner,One Piece,"-Answer me, you sniveling runt. -He doesn't have to.",
2024/06/25 20:52:17,2,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/runt"", ""runt"")",disparaging terms for small people,One Piece,"-Answer me, you sniveling runt. -He doesn't have to.",
2024/06/25 20:58:57,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/wince"", ""wince"")",the facial expression of sudden pain,One Piece,[Luffy winces],
2024/06/25 21:00:55,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/unsettle"", ""unsettle"")",disturb the composure of,One Piece,[unsettling music plays],
2024/06/25 21:06:12,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/stealthy"", ""stealthy"")",marked by quiet and caution and secrecy; taking pains to avoid being observed,One Piece,I'm stealthy.,
2024/06/25 21:11:25,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/mockingly"", ""mockingly"")",in a disrespectful jeering manner,One Piece,"[mockingly] ""I'm so sorry!""",
2024/06/25 21:14:13,3,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/whimper"", ""whimper"")",a complaint uttered in a plaintive whining way,One Piece,[whimpering],
2024/06/25 21:23:18,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/pertain"", ""pertain"")",be relevant to,One Piece,Why would he do that? All maps pertaining to The Grand Line,
2024/06/25 21:24:42,2,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/exhales"", ""exhales"")",expel air,One Piece,[exhales],
2024/06/25 21:32:41,4,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/grunting"", ""grunting"")","issue a grunting, low, animal-like noise",One Piece,[Luffy grunting],
2024/06/25 21:35:16,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/imposter"", ""imposter"")",a person who makes deceitful pretenses,One Piece,"The imposter, the pirate hunter, and the prisoner.",
2024/06/26 18:41:36,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/stretchy"", ""stretchy"")",capable of being easily stretched and resuming former size or shape,One Piece,You are some stretchy guy in a tattered hat.,
2024/06/26 18:45:15,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/menagerie"", ""menagerie"")",a collection of live animals for study or display,One Piece,And my menagerie of outcasts and freaks,
2024/06/26 18:55:53,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/unenthusiastic"", ""unenthusiastic"")",not enthusiastic; lacking excitement or ardor,One Piece,[unenthusiastic laughing],
2024/06/26 18:59:21,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/relenting"", ""relenting"")","give in, as to influence or pressure",One Piece,"day and night, never relenting,",
2024/06/26 19:01:00,2,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/clang"", ""clang"")",a loud resonant repeating noise,One Piece,-[Cabaji grunts] -[knife clangs],
2024/06/26 19:20:30,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/captor"", ""captor"")",a person who captures and holds people or animals,One Piece,Are you our new captors?,
2024/06/27 17:49:06,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/batten"", ""batten"")",stuffing made of rolls or sheets of cotton wool or synthetic fiber,One Piece,Pirates. Man the cannons! Batten the hatches!,
2024/06/27 17:57:16,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/figurehead"", ""figurehead"")",a person used as a cover for some questionable activity,One Piece,"Okay, so we need to get one with a very, very impressive figurehead.",
2024/06/27 18:01:01,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/aviary"", ""aviary"")",a building where birds are kept,One Piece,in charge of encrustation removal and aviary waste eradication.,
2024/06/27 18:07:33,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/capsizing"", ""capsizing"")",(nautical) the event of a boat accidentally turning over in the water,One Piece,"I had to weather a storm, my ship almost capsizing, to find it.",
2024/06/27 18:12:42,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/overprotective"", ""overprotective"")",overly protective,One Piece,"I know I can be a tad overprotective at times,",
2024/06/27 18:16:42,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/upstart"", ""upstart"")",an arrogant or presumptuous person,One Piece,Especially with these young upstarts.,
2024/06/27 18:18:28,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/intricacy"", ""intricacy"")",marked by elaborately complex detail,One Piece,in learning about the intricacies of the shipbuilding business.,
2024/06/27 18:20:09,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/splendidly"", ""splendidly"")",extremely well,One Piece,I'm sure she would agree it suits you splendidly.,
2024/06/27 18:21:21,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/patronize"", ""patronize"")",assume sponsorship of,One Piece,"Well, I can assure you I've never patronized that type of establishment.",
2024/06/27 18:29:59,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/pirating"", ""pirating"")",copy illegally; of published material,One Piece,I'm small potatoes. Pirating's more of a side gig.,
2024/06/27 18:30:52,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/ransack"", ""ransack"")",steal goods; take as spoils,One Piece,Kuroobi tells me you ransacked Orange Town.,
2024/06/27 18:34:51,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/pillowcase"", ""pillowcase"")",bed linen consisting of a cover for a pillow,One Piece,With a pillowcase?,
2024/06/27 18:43:53,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/imbecile"", ""imbecile"")",a person of subnormal intelligence,One Piece,One that imbecile's ego helped me perpetuate.,
2024/06/27 18:45:09,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/shakily"", ""shakily"")",in an insecurely shaky manner,One Piece,[breathing shakily],
2024/06/28 18:18:30,2,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/gurgle"", ""gurgle"")",the bubbling sound of water flowing from a bottle with a narrow neck,One Piece,[stomach gurgles],
2024/06/28 18:21:11,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/oaf"", ""oaf"")",an awkward stupid person,One Piece,Go ahead and toss him in the well with the green-haired oaf.,
2024/06/28 18:45:27,2,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/creak"", ""creak"")",a squeaking sound,One Piece,[shutters creaking],
2024/06/28 18:51:00,2,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/swordsman"", ""swordsman"")",someone skilled at fencing,One Piece,that one of us would become the world's greatest swordsman to ever live.,
2024/06/28 19:01:33,1,"=HYPERLINK(""https://www.oxfordlearnersdictionaries.com/definition/english/annoyingly"", ""annoyingly"")",in an annoying manner or to an annoying degree,One Piece,You are annoyingly resilient.,
